ASST,Asset Entities,Internet Content & Information,9.16M,,
ASTC,Astrotech,Aerospace & Defense,13.75M,,
ASTE,Astec Industries,Farm & Heavy Construction Machinery,960.23M,,
ASTH,Astrana Health,Medical - Care Facilities,1.83B,,
ASTI,Ascent Solar Technologies,Solar,1.49M,,
ASTL,Algoma Steel Group,Steel,838.03M,,
ASTR,Astra Space,Aerospace & Defense,14.74M,,
ASTS,AST SpaceMobile,Telecommunications - Services,734.62M,,
ASUR,Asure Software,Software - Application,209.35M,,
ASX,ASE Technology Holding Co.,Semiconductors,24.23B,,
ASXC,Asensus Surgical,Medical Devices,63.60M,,
ASYS,Amtech Systems,Semiconductors - Equipment & Materials,74.57M,,
ATAI,Atai Life Sciences,Biotechnology,277.24M,,
ATAT,Atour Lifestyle Holdings,Lodging,2.63B,,
ATCH,AtlasClear Holdings,Software - Infrastructure,18.97M,,
ATEC,Alphatec Holdings,Medical Devices,1.89B,,
ATEK,Athena Technology Acquisition Corp. II,Shell Companies,135.25M,,
ATEN,A10 Networks,Software - Infrastructure,1.03B,,
ATER,Aterian,Furnishings, Fixtures & Appliances,306.57M,,
ATEX,Anterix,Telecommunications - Services,636.53M,,
ATGE,Adtalem Global Education,Education & Training Services,1.99B,,
ATGL,Alpha Technology Group,Software - Infrastructure,198.11M,,
